"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"97","MAJ_DIM",26,"hijack","NegWord","NegChord",1,7,527,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"98","MAJ_DIM",25,"rabid","NegWord","NegChord",1,10,544,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"99","MAJ_DIM",21,"excite","PosWord","NegChord",2,7,529,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"100","MAJ_DIM",3,"gentle","PosWord","PosChord",2,10,448,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"101","MAJ_DIM",19,"gentle","PosWord","NegChord",2,4,464,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"102","MAJ_DIM",2,"lively","PosWord","PosChord",2,7,488,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"103","MAJ_DIM",15,"dismal","NegWord","PosChord",1,4,479,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"104","MAJ_DIM",1,"sweet","PosWord","PosChord",2,9,557,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"105","MAJ_DIM",23,"comfy","PosWord","NegChord",2,9,533,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"106","MAJ_DIM",24,"relax","PosWord","NegChord",2,3,489,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
